Time,Range,Vel,Lat_nominal,Lon_nominal,Alt_nominal,Alt_90km,Lat_90km,Lon_90km
217.2,125.0,1203.4,66.246986,-147.271317,370.2,89.9942994455339,66.73342442783176,-146.92130562100903
217.3,125.0,1202.7,66.247536,-147.27121,370.3,89.99215652536864,66.73412962470887,-146.9210785708228
217.4,125.1,1201.9,66.248077,-147.271103,370.4,89.99019878339692,66.73482574381077,-146.9208517162721
217.5,125.1,1201.2,66.248627,-147.270996,370.5,89.98803327982696,66.73553094971152,-146.92062464719217
217.6,125.2,1200.4,66.249176,-147.270889,370.6,89.98587829598111,66.73623515098808,-146.9203975914329
217.7,125.3,1199.7,66.249718,-147.270782,370.7,89.98386501113208,66.73693229270515,-146.92017068592008
217.8,125.3,1199.0,66.250267,-147.270676,370.8,89.9816912554187,66.73763650190966,-146.9199446196668
217.9,125.4,1198.2,66.250809,-147.270569,370.9,89.9796555132804,66.73833365260062,-146.91971769538938
218.0,125.4,1197.5,66.251358,-147.270462,371.0,89.9774553790596,66.73903787191601,-146.9194906018577
218.1,125.5,1196.8,66.251907,-147.27034,371.1,89.97518683260186,66.73974211214284,-146.91924837285504
218.2,125.6,1196.0,66.252449,-147.270233,371.2,89.97311734249195,66.74043927631679,-146.9190214203423
218.3,125.6,1195.3,66.252998,-147.270126,371.3,89.02921761239404,66.74277666364382,-146.91757408291573
218.4,125.7,1194.5,66.25354,-147.27002,371.4,89.11268508838636,66.74332538744022,-146.9174590067784
218.5,125.8,1193.8,66.254089,-147.269913,371.5,89.19599369935085,66.7438811771729,-146.91734276056624
218.6,125.8,1193.1,66.254639,-147.269806,371.6,89.2792791587143,66.74443797653167,-146.91722649040878
218.7,125.9,1192.3,66.25518,-147.269699,371.7,89.36276135803668,66.74498569346801,-146.91711042584737
218.8,125.9,1191.6,66.25573,-147.269592,371.8,89.4460444984549,66.745542493667,-146.9169941537118
218.9,126.0,1190.9,66.256271,-147.269485,371.9,89.52952440948411,66.74609021143247,-146.91687808719408
219.0,126.1,1190.1,66.256821,-147.269379,372.0,89.61280905453327,66.74664701137326,-146.91676282151707
219.1,126.1,1189.4,66.257362,-147.269272,372.1,89.69628667718871,66.74719472996757,-146.91664675304287
219.2,126.2,1188.6,66.257912,-147.269165,372.2,89.77956517883366,66.74775153184662,-146.91653047695053
219.3,126.2,1187.9,66.258453,-147.269058,372.3,89.86304051241645,66.74829925126997,-146.9164144065195
219.4,126.3,1187.2,66.259003,-147.268951,372.4,89.94631669392216,66.74885605398913,-146.91629812844818
219.5,126.4,1186.4,66.259544,-147.268845,372.5,89.94412686710302,66.74955226624037,-146.9160720851372
219.6,126.4,1185.7,66.260094,-147.268738,372.6,89.9417238456188,66.75025756700819,-146.91584481720605
219.7,126.5,1185.0,66.260635,-147.268631,372.7,89.93950771026284,66.75095378933793,-146.9156177466575
219.8,126.5,1184.2,66.261185,-147.268524,372.8,89.93708205209526,66.75165909914386,-146.91539045976862
219.9,126.6,1183.5,66.261726,-147.268417,372.9,89.93484342881632,66.752355330454,-146.91516337041443
220.0,126.7,1182.8,66.262276,-147.268311,373.0,89.93239896334748,66.75306064819678,-146.91493707301723
220.1,126.7,1182.0,66.262817,-147.268188,373.1,89.9300764812311,66.75375690613589,-146.9146938295278
220.2,126.8,1181.3,66.263367,-147.268082,373.2,89.9276093506705,66.75446223292604,-146.91446751312367
